delivery_id,item_request_id,delivery_finished,delivery_started,total_delivery_time,status,number_of_obstacles
79,45,2024-02-14 11:00:00,2024-02-14 10:50:00,10,COMPLETED,8
80,23,2024-01-14 13:00:00,2024-01-14 12:50:00,10,COMPLETED,8
81,13,2024-02-21 16:00:00,2024-02-21 15:50:00,10,COMPLETED,9
82,45,2024-04-09 13:00:00,2024-04-09 12:50:00,10,COMPLETED,9
83,8,2024-02-23 16:00:00,2024-02-23 15:50:00,10,COMPLETED,9
84,21,2024-05-03 11:00:00,2024-05-03 10:50:00,10,COMPLETED,7
85,37,2024-08-01 11:00:00,2024-08-01 10:50:00,10,COMPLETED,10
86,5,2024-02-01 19:00:00,2024-02-01 18:50:00,10,COMPLETED,9
87,25,2024-07-26 19:00:00,2024-07-26 18:50:00,10,COMPLETED,7
88,1,2024-05-08 17:00:00,2024-05-08 16:50:00,10,COMPLETED,10
89,46,2024-05-19 10:00:00,2024-05-19 09:50:00,10,COMPLETED,10
90,19,2024-03-12 18:00:00,2024-03-12 17:50:00,10,COMPLETED,8
91,37,2024-08-12 12:00:00,2024-08-12 11:50:00,10,COMPLETED,7
92,22,2024-10-06 18:00:00,2024-10-06 17:50:00,10,COMPLETED,10
93,46,2024-07-16 17:00:00,2024-07-16 16:50:00,10,COMPLETED,8
94,12,2024-12-05 15:00:00,2024-12-05 14:48:00,12,COMPLETED,10
95,41,2024-02-21 11:00:00,2024-02-21 10:48:00,12,COMPLETED,10
96,12,2024-05-21 13:00:00,2024-05-21 12:48:00,12,COMPLETED,12
97,1,2024-02-28 10:00:00,2024-02-28 09:48:00,12,COMPLETED,12
98,36,2024-07-20 14:00:00,2024-07-20 13:48:00,12,COMPLETED,11
99,50,2024-04-06 13:00:00,2024-04-06 12:48:00,12,COMPLETED,10
100,48,2024-01-16 11:00:00,2024-01-16 10:55:00,5,COMPLETED,4
101,50,2024-12-31 17:00:00,2024-12-31 16:52:00,8,COMPLETED,4
102,36,2024-01-30 13:00:00,2024-01-30 12:52:00,8,COMPLETED,7
103,3,2024-04-05 12:00:00,2024-04-05 11:52:00,8,COMPLETED,8
104,6,2024-11-20 17:00:00,2024-11-20 16:52:00,8,COMPLETED,7
105,44,2024-06-18 14:00:00,2024-06-18 13:52:00,8,COMPLETED,7
106,8,2024-05-10 15:00:00,2024-05-10 14:52:00,8,COMPLETED,7
107,1,2024-05-06 10:00:00,2024-05-06 09:52:00,8,COMPLETED,8
108,37,2024-12-19 17:00:00,2024-12-19 16:51:00,9,COMPLETED,7
109,38,2024-12-28 11:00:00,2024-12-28 10:49:00,11,COMPLETED,9
110,43,2024-09-27 14:00:00,2024-09-27 13:49:00,11,COMPLETED,11
111,25,2024-04-21 16:00:00,2024-04-21 15:49:00,11,COMPLETED,10
112,39,2024-03-26 14:00:00,2024-03-26 13:49:00,11,COMPLETED,9
113,17,2024-05-15 12:00:00,2024-05-15 11:49:00,11,COMPLETED,11
114,44,2024-02-19 14:00:00,2024-02-19 13:49:00,11,COMPLETED,10
115,31,2024-08-07 19:00:00,2024-08-07 18:49:00,11,COMPLETED,11
116,19,2024-04-04 13:00:00,2024-04-04 12:49:00,11,COMPLETED,11
117,11,2024-10-05 14:00:00,2024-10-05 13:49:00,11,COMPLETED,11
118,38,2024-02-06 16:00:00,2024-02-06 15:49:00,11,COMPLETED,11
119,13,2024-04-17 18:00:00,2024-04-17 17:49:00,11,COMPLETED,9
120,26,2024-09-10 13:00:00,2024-09-10 12:49:00,11,COMPLETED,11
121,1,2024-12-09 19:00:00,2024-12-09 18:46:00,14,COMPLETED,9
122,6,2024-08-24 17:00:00,2024-08-24 16:46:00,14,COMPLETED,12
123,37,2024-07-15 19:00:00,2024-07-15 18:46:00,14,COMPLETED,12
124,19,2024-01-18 14:00:00,2024-01-18 13:46:00,14,COMPLETED,11
125,19,2024-01-14 10:00:00,2024-01-14 09:46:00,14,COMPLETED,14
126,43,2024-10-27 13:00:00,2024-10-27 12:46:00,14,COMPLETED,11
127,49,2024-06-25 18:00:00,2024-06-25 17:46:00,14,COMPLETED,14
128,24,2024-08-03 10:00:00,2024-08-03 09:46:00,14,COMPLETED,11
129,11,2024-09-29 10:00:00,2024-09-29 09:46:00,14,COMPLETED,13
130,31,2024-01-25 18:00:00,2024-01-25 17:46:00,14,COMPLETED,13
131,30,2024-04-22 14:00:00,2024-04-22 13:46:00,14,COMPLETED,14
132,49,2024-04-19 14:00:00,2024-04-19 13:46:00,14,COMPLETED,10
133,7,2024-10-24 13:00:00,2024-10-24 12:54:00,6,COMPLETED,5
134,28,2024-03-11 14:00:00,2024-03-11 13:54:00,6,COMPLETED,6
135,9,2024-01-11 19:00:00,2024-01-11 18:54:00,6,COMPLETED,6
136,29,2024-05-14 13:00:00,2024-05-14 12:54:00,6,COMPLETED,6
137,19,2024-01-14 11:00:00,2024-01-14 10:54:00,6,COMPLETED,4
138,19,2024-12-04 13:00:00,2024-12-04 12:53:00,7,COMPLETED,4
139,43,2024-07-24 12:00:00,2024-07-24 11:53:00,7,COMPLETED,7
140,16,2024-03-04 17:00:00,2024-03-04 16:53:00,7,COMPLETED,6
141,14,2024-08-29 10:00:00,2024-08-29 09:53:00,7,COMPLETED,6
142,19,2024-03-25 19:00:00,2024-03-25 18:53:00,7,COMPLETED,7
143,31,2024-02-14 14:00:00,2024-02-14 13:53:00,7,COMPLETED,7
144,36,2024-03-14 16:00:00,2024-03-14 15:53:00,7,COMPLETED,7
145,49,2024-01-29 19:00:00,2024-01-29 18:53:00,7,COMPLETED,7
146,17,2024-06-15 17:00:00,2024-06-15 16:53:00,7,COMPLETED,5
147,12,2024-05-26 15:00:00,2024-05-26 14:53:00,7,COMPLETED,6
148,11,2024-08-15 13:00:00,2024-08-15 12:53:00,7,COMPLETED,7
149,43,2024-06-02 17:00:00,2024-06-02 16:53:00,7,COMPLETED,5
150,18,2024-12-14 17:00:00,2024-12-14 16:50:00,10,COMPLETED,6
151,42,2024-01-22 19:00:00,2024-01-22 18:50:00,10,COMPLETED,10
152,3,2024-09-21 17:00:00,2024-09-21 16:50:00,10,COMPLETED,10
153,34,2024-01-14 17:00:00,2024-01-14 16:50:00,10,COMPLETED,8
154,3,2024-04-01 15:00:00,2024-04-01 14:50:00,10,COMPLETED,10
155,32,2024-11-26 19:00:00,2024-11-26 18:50:00,10,COMPLETED,9
156,42,2024-10-22 13:00:00,2024-10-22 12:50:00,10,COMPLETED,9
157,10,2024-11-02 12:00:00,2024-11-02 11:50:00,10,COMPLETED,7
158,37,2024-12-20 12:00:00,2024-12-20 11:49:00,11,COMPLETED,8
159,1,2024-06-23 11:00:00,2024-06-23 10:49:00,11,COMPLETED,11
160,50,2024-10-25 15:00:00,2024-10-25 14:49:00,11,COMPLETED,11
161,40,2024-09-10 11:00:00,2024-09-10 10:49:00,11,COMPLETED,10
162,7,2024-11-19 11:00:00,2024-11-19 10:49:00,11,COMPLETED,8
163,8,2024-08-09 11:00:00,2024-08-09 10:49:00,11,COMPLETED,11
164,18,2024-07-06 11:00:00,2024-07-06 10:49:00,11,COMPLETED,11
165,27,2024-06-15 13:00:00,2024-06-15 12:49:00,11,COMPLETED,10
166,9,2024-05-23 11:00:00,2024-05-23 10:53:00,7,COMPLETED,5
167,37,2024-05-30 11:00:00,2024-05-30 10:53:00,7,COMPLETED,5
168,8,2024-08-22 18:00:00,2024-08-22 17:53:00,7,COMPLETED,6
169,33,2024-01-14 10:00:00,2024-01-14 09:53:00,7,COMPLETED,6
170,1,2024-10-17 16:00:00,2024-10-17 15:53:00,7,COMPLETED,5
171,4,2024-07-26 12:00:00,2024-07-26 11:53:00,7,COMPLETED,6
172,47,2024-12-22 17:00:00,2024-12-22 16:52:00,8,COMPLETED,8
173,33,2024-09-08 14:00:00,2024-09-08 13:52:00,8,COMPLETED,8
174,34,2024-05-15 12:00:00,2024-05-15 11:52:00,8,COMPLETED,7
175,26,2024-10-22 13:00:00,2024-10-22 12:52:00,8,COMPLETED,7
176,25,2024-06-13 10:00:00,2024-06-13 09:52:00,8,COMPLETED,7
177,2,2024-06-29 11:00:00,2024-06-29 10:52:00,8,COMPLETED,6
178,16,2024-03-20 12:00:00,2024-03-20 11:52:00,8,COMPLETED,8
179,48,2024-01-12 10:00:00,2024-01-12 09:52:00,8,COMPLETED,7
180,48,2024-02-08 10:00:00,2024-02-08 09:52:00,8,COMPLETED,6
181,11,2024-10-12 10:00:00,2024-10-12 09:52:00,8,COMPLETED,8
182,24,2024-02-21 19:00:00,2024-02-21 18:52:00,8,COMPLETED,6
183,43,2024-02-14 16:00:00,2024-02-14 15:52:00,8,COMPLETED,8
184,12,2024-10-04 14:00:00,2024-10-04 13:52:00,8,COMPLETED,7
185,7,2024-11-17 16:00:00,2024-11-17 15:52:00,8,COMPLETED,8
186,33,2024-01-23 16:00:00,2024-01-23 15:52:00,8,COMPLETED,6
187,10,2024-10-12 13:00:00,2024-10-12 12:52:00,8,COMPLETED,8
188,42,2024-03-19 17:00:00,2024-03-19 16:52:00,8,COMPLETED,6
189,39,2024-09-02 17:00:00,2024-09-02 16:52:00,8,COMPLETED,7
190,25,2024-05-23 18:00:00,2024-05-23 17:52:00,8,COMPLETED,7
191,17,2024-07-10 10:00:00,2024-07-10 09:52:00,8,COMPLETED,8
192,44,2024-08-14 16:00:00,2024-08-14 15:52:00,8,COMPLETED,7
193,23,2024-11-07 17:00:00,2024-11-07 16:52:00,8,COMPLETED,7
194,25,2024-01-02 10:00:00,2024-01-02 09:52:00,8,COMPLETED,8
195,14,2024-08-31 12:00:00,2024-08-31 11:52:00,8,COMPLETED,6
196,34,2024-05-02 13:00:00,2024-05-02 12:52:00,8,COMPLETED,8
197,1,2024-04-07 17:00:00,2024-04-07 16:52:00,8,COMPLETED,6
198,37,2024-08-23 19:00:00,2024-08-23 18:52:00,8,COMPLETED,6
199,13,2024-01-29 16:00:00,2024-01-29 15:52:00,8,COMPLETED,8
200,10,2024-01-13 10:00:00,2024-01-13 09:52:00,8,COMPLETED,6
201,32,2024-04-05 17:00:00,2024-04-05 16:52:00,8,COMPLETED,8
202,4,2024-04-14 12:00:00,2024-04-14 11:52:00,8,COMPLETED,8
203,37,2024-10-06 12:00:00,2024-10-06 11:52:00,8,COMPLETED,6
204,25,2024-01-25 12:00:00,2024-01-25 11:52:00,8,COMPLETED,8
205,5,2024-06-04 10:00:00,2024-06-04 09:52:00,8,COMPLETED,8
206,45,2024-11-11 14:00:00,2024-11-11 13:52:00,8,COMPLETED,8
207,4,2024-08-31 10:00:00,2024-08-31 09:52:00,8,COMPLETED,8
208,11,2024-10-25 14:00:00,2024-10-25 13:52:00,8,COMPLETED,8
209,50,2024-01-21 14:00:00,2024-01-21 13:52:00,8,COMPLETED,8
210,12,2024-11-28 15:00:00,2024-11-28 14:52:00,8,COMPLETED,6
211,18,2024-05-25 19:00:00,2024-05-25 18:52:00,8,COMPLETED,8
212,45,2024-06-22 14:00:00,2024-06-22 13:52:00,8,COMPLETED,8
213,47,2024-01-13 10:00:00,2024-01-13 09:52:00,8,COMPLETED,7
214,22,2024-01-22 11:00:00,2024-01-22 10:52:00,8,COMPLETED,7
215,34,2024-02-04 16:00:00,2024-02-04 15:52:00,8,COMPLETED,7
216,44,2024-06-28 10:00:00,2024-06-28 09:52:00,8,COMPLETED,6
217,17,2024-11-10 15:00:00,2024-11-10 14:52:00,8,COMPLETED,7
218,1,2024-07-24 14:00:00,2024-07-24 13:52:00,8,COMPLETED,7
219,25,2024-11-01 11:00:00,2024-11-01 10:52:00,8,COMPLETED,8
220,2,2024-09-27 16:00:00,2024-09-27 15:52:00,8,COMPLETED,8
221,9,2024-05-25 13:00:00,2024-05-25 12:52:00,8,COMPLETED,8
222,9,2024-04-09 15:00:00,2024-04-09 14:52:00,8,COMPLETED,8
223,12,2024-02-05 12:00:00,2024-02-05 11:52:00,8,COMPLETED,8
224,46,2024-09-01 14:00:00,2024-09-01 13:52:00,8,COMPLETED,6
225,14,2024-01-14 18:00:00,2024-01-14 17:52:00,8,COMPLETED,8
226,50,2024-11-09 12:00:00,2024-11-09 11:52:00,8,COMPLETED,6
227,8,2024-11-20 16:00:00,2024-11-20 15:52:00,8,COMPLETED,8
228,5,2024-11-22 11:00:00,2024-11-22 10:52:00,8,COMPLETED,8
229,47,2024-06-14 15:00:00,2024-06-14 14:52:00,8,COMPLETED,8
230,34,2024-05-23 18:00:00,2024-05-23 17:52:00,8,COMPLETED,8
231,14,2024-11-20 15:00:00,2024-11-20 14:52:00,8,COMPLETED,7
232,9,2024-04-16 12:00:00,2024-04-16 11:51:00,9,COMPLETED,9
233,21,2024-02-16 16:00:00,2024-02-16 15:51:00,9,COMPLETED,8
234,34,2024-05-08 12:00:00,2024-05-08 11:51:00,9,COMPLETED,8
235,7,2024-08-10 19:00:00,2024-08-10 18:51:00,9,COMPLETED,9
236,33,2024-09-20 10:00:00,2024-09-20 09:51:00,9,COMPLETED,7
237,39,2024-12-15 13:00:00,2024-12-15 12:49:00,11,COMPLETED,7
238,19,2024-12-22 11:00:00,2024-12-22 10:47:00,13,COMPLETED,9
239,32,2024-11-13 14:00:00,2024-11-13 13:47:00,13,COMPLETED,13
240,30,2024-09-09 11:00:00,2024-09-09 10:47:00,13,COMPLETED,12
241,34,2024-11-24 14:00:00,2024-11-24 13:47:00,13,COMPLETED,13
242,26,2024-11-24 12:00:00,2024-11-24 11:47:00,13,COMPLETED,9
243,17,2024-04-25 17:00:00,2024-04-25 16:47:00,13,COMPLETED,10
244,38,2024-01-13 12:00:00,2024-01-13 11:47:00,13,COMPLETED,12
245,29,2024-07-04 12:00:00,2024-07-04 11:47:00,13,COMPLETED,10
246,30,2024-07-06 19:00:00,2024-07-06 18:47:00,13,COMPLETED,9
247,24,2024-09-07 19:00:00,2024-09-07 18:47:00,13,COMPLETED,13
248,43,2024-01-27 19:00:00,2024-01-27 18:47:00,13,COMPLETED,11
249,12,2024-02-21 11:00:00,2024-02-21 10:47:00,13,COMPLETED,13
250,35,2024-07-01 13:00:00,2024-07-01 12:47:00,13,COMPLETED,12
251,48,2024-01-24 16:00:00,2024-01-24 15:47:00,13,COMPLETED,11
252,11,2024-02-27 14:00:00,2024-02-27 13:47:00,13,COMPLETED,9
253,2,2024-03-18 11:00:00,2024-03-18 10:47:00,13,COMPLETED,11
254,5,2024-05-28 17:00:00,2024-05-28 16:47:00,13,COMPLETED,11
255,45,2024-05-12 11:00:00,2024-05-12 10:47:00,13,COMPLETED,13
256,13,2024-01-15 13:00:00,2024-01-15 12:47:00,13,COMPLETED,9
257,16,2024-11-22 10:00:00,2024-11-22 09:47:00,13,COMPLETED,13
258,32,2024-08-15 16:00:00,2024-08-15 15:47:00,13,COMPLETED,10
259,46,2024-07-29 19:00:00,2024-07-29 18:47:00,13,COMPLETED,11
260,1,2024-08-22 16:00:00,2024-08-22 15:47:00,13,COMPLETED,13
261,3,2024-10-17 15:00:00,2024-10-17 14:47:00,13,COMPLETED,10
262,47,2024-05-03 14:00:00,2024-05-03 13:47:00,13,COMPLETED,10
263,6,2024-09-10 15:00:00,2024-09-10 14:47:00,13,COMPLETED,9
264,11,2024-10-09 14:00:00,2024-10-09 13:47:00,13,COMPLETED,9
265,2,2024-02-02 11:00:00,2024-02-02 10:50:00,10,COMPLETED,8
266,21,2024-04-28 10:00:00,2024-04-28 09:50:00,10,COMPLETED,7
267,35,2024-08-16 13:00:00,2024-08-16 12:50:00,10,COMPLETED,7
268,14,2024-09-24 17:00:00,2024-09-24 16:50:00,10,COMPLETED,10
269,18,2024-11-11 13:00:00,2024-11-11 12:50:00,10,COMPLETED,9
270,35,2024-02-21 13:00:00,2024-02-21 12:50:00,10,COMPLETED,8
271,21,2024-04-12 14:00:00,2024-04-12 13:50:00,10,COMPLETED,10
272,42,2024-03-28 18:00:00,2024-03-28 17:50:00,10,COMPLETED,8
273,49,2024-12-31 16:00:00,2024-12-31 15:47:00,13,COMPLETED,8
274,28,2024-11-04 16:00:00,2024-11-04 15:47:00,13,COMPLETED,13
275,15,2024-02-27 12:00:00,2024-02-27 11:47:00,13,COMPLETED,13
276,24,2024-10-26 11:00:00,2024-10-26 10:47:00,13,COMPLETED,13
277,24,2024-02-19 14:00:00,2024-02-19 13:47:00,13,COMPLETED,13
278,19,2024-01-11 12:00:00,2024-01-11 11:47:00,13,COMPLETED,9
279,26,2024-11-10 18:00:00,2024-11-10 17:47:00,13,COMPLETED,11
280,25,2024-10-01 13:00:00,2024-10-01 12:47:00,13,COMPLETED,13
281,26,2024-09-29 16:00:00,2024-09-29 15:47:00,13,COMPLETED,9
282,4,2024-12-18 18:00:00,2024-12-18 17:45:00,15,COMPLETED,11
283,12,2024-08-06 14:00:00,2024-08-06 13:45:00,15,COMPLETED,13
284,31,2024-08-31 18:00:00,2024-08-31 17:45:00,15,COMPLETED,15
285,37,2024-06-09 14:00:00,2024-06-09 13:45:00,15,COMPLETED,15
286,24,2024-09-06 19:00:00,2024-09-06 18:45:00,15,COMPLETED,11
287,32,2024-07-20 15:00:00,2024-07-20 14:45:00,15,COMPLETED,13
288,36,2024-11-09 14:00:00,2024-11-09 13:45:00,15,COMPLETED,15
289,9,2024-12-15 15:00:00,2024-12-15 14:44:00,16,COMPLETED,13
290,4,2024-07-14 15:00:00,2024-07-14 14:44:00,16,COMPLETED,15
291,13,2024-04-27 17:00:00,2024-04-27 16:44:00,16,COMPLETED,12
292,29,2024-03-15 11:00:00,2024-03-15 10:44:00,16,COMPLETED,13
293,26,2024-11-19 15:00:00,2024-11-19 14:44:00,16,COMPLETED,14
294,1,2024-12-05 17:00:00,2024-12-05 16:44:00,16,COMPLETED,13
295,7,2024-01-10 15:00:00,2024-01-10 14:44:00,16,COMPLETED,15
296,38,2024-07-30 13:00:00,2024-07-30 12:44:00,16,COMPLETED,15
297,39,2024-04-20 12:00:00,2024-04-20 11:44:00,16,COMPLETED,15
298,46,2024-08-12 10:00:00,2024-08-12 09:49:00,11,COMPLETED,10
299,50,2024-09-07 13:00:00,2024-09-07 12:49:00,11,COMPLETED,11
300,38,2024-08-02 10:00:00,2024-08-02 09:49:00,11,COMPLETED,11
301,5,2024-06-14 18:00:00,2024-06-14 17:49:00,11,COMPLETED,9
302,24,2024-10-21 15:00:00,2024-10-21 14:49:00,11,COMPLETED,8
303,14,2024-08-13 11:00:00,2024-08-13 10:49:00,11,COMPLETED,9
304,13,2024-04-13 18:00:00,2024-04-13 17:49:00,11,COMPLETED,10
305,33,2024-02-17 13:00:00,2024-02-17 12:49:00,11,COMPLETED,8
306,17,2024-06-03 19:00:00,2024-06-03 18:49:00,11,COMPLETED,9
307,20,2024-01-10 19:00:00,2024-01-10 18:49:00,11,COMPLETED,11
308,25,2024-04-21 16:00:00,2024-04-21 15:49:00,11,COMPLETED,11
309,17,2024-04-08 13:00:00,2024-04-08 12:49:00,11,COMPLETED,8
310,6,2024-07-08 17:00:00,2024-07-08 16:49:00,11,COMPLETED,11
311,33,2024-03-15 10:00:00,2024-03-15 09:49:00,11,COMPLETED,11
312,1,2024-03-08 17:00:00,2024-03-08 16:49:00,11,COMPLETED,10
313,14,2024-04-04 16:00:00,2024-04-04 15:49:00,11,COMPLETED,11
314,27,2024-01-12 12:00:00,2024-01-12 11:49:00,11,COMPLETED,10
315,48,2024-11-20 10:00:00,2024-11-20 09:49:00,11,COMPLETED,8
316,22,2024-11-17 12:00:00,2024-11-17 11:49:00,11,COMPLETED,9
317,30,2024-04-12 14:00:00,2024-04-12 13:49:00,11,COMPLETED,11
318,16,2024-05-09 19:00:00,2024-05-09 18:49:00,11,COMPLETED,11
319,6,2024-02-29 16:00:00,2024-02-29 15:49:00,11,COMPLETED,9
320,1,2024-10-01 12:00:00,2024-10-01 11:49:00,11,COMPLETED,11
321,32,2024-07-01 13:00:00,2024-07-01 12:49:00,11,COMPLETED,9
322,40,2024-07-16 14:00:00,2024-07-16 13:49:00,11,COMPLETED,10
323,19,2024-04-17 13:00:00,2024-04-17 12:49:00,11,COMPLETED,10
324,21,2024-01-25 17:00:00,2024-01-25 16:49:00,11,COMPLETED,11
325,37,2024-11-06 13:00:00,2024-11-06 12:49:00,11,COMPLETED,11
326,37,2024-07-21 11:00:00,2024-07-21 10:49:00,11,COMPLETED,8
327,40,2024-05-25 18:00:00,2024-05-25 17:49:00,11,COMPLETED,10
328,37,2024-01-26 18:00:00,2024-01-26 17:49:00,11,COMPLETED,11
329,3,2024-05-04 14:00:00,2024-05-04 13:49:00,11,COMPLETED,11
330,41,2024-08-23 16:00:00,2024-08-23 15:49:00,11,COMPLETED,10
331,26,2024-12-06 10:00:00,2024-12-06 09:47:00,13,COMPLETED,9
332,10,2024-04-27 13:00:00,2024-04-27 12:47:00,13,COMPLETED,13
333,42,2024-08-02 10:00:00,2024-08-02 09:47:00,13,COMPLETED,13
334,39,2024-01-23 17:00:00,2024-01-23 16:47:00,13,COMPLETED,13
335,19,2024-03-20 18:00:00,2024-03-20 17:47:00,13,COMPLETED,13
336,18,2024-04-28 18:00:00,2024-04-28 17:47:00,13,COMPLETED,13
337,40,2024-04-11 18:00:00,2024-04-11 17:47:00,13,COMPLETED,13
338,5,2024-11-10 14:00:00,2024-11-10 13:47:00,13,COMPLETED,12
339,26,2024-04-05 18:00:00,2024-04-05 17:47:00,13,COMPLETED,9
