delivery_finished,delivery_started,total_delivery_time,status,number_of_obstacles,item_request_id
2024-06-07 14:00:00,2024-06-07 13:57:00,3,COMPLETED,1,47
2024-07-26 13:00:00,2024-07-26 12:57:00,3,COMPLETED,1,48
2024-02-12 19:00:00,2024-02-12 18:57:00,3,COMPLETED,1,49
2024-06-03 15:00:00,2024-06-03 14:57:00,3,COMPLETED,2,50
2024-05-14 16:00:00,2024-05-14 15:57:00,3,COMPLETED,1,51
2024-11-18 11:00:00,2024-11-18 10:57:00,3,COMPLETED,1,52
2024-02-18 15:00:00,2024-02-18 14:57:00,3,COMPLETED,1,53
2024-05-21 14:00:00,2024-05-21 13:57:00,3,COMPLETED,2,54
2024-09-25 12:00:00,2024-09-25 11:57:00,3,COMPLETED,2,55
2024-05-03 13:00:00,2024-05-03 12:57:00,3,COMPLETED,1,56
2024-10-23 14:00:00,2024-10-23 13:57:00,3,COMPLETED,2,57
2024-10-27 17:00:00,2024-10-27 16:57:00,3,COMPLETED,2,58
2024-02-23 16:00:00,2024-02-23 15:57:00,3,COMPLETED,1,59
2024-05-07 10:00:00,2024-05-07 09:57:00,3,COMPLETED,2,60
2024-11-12 11:00:00,2024-11-12 10:57:00,3,COMPLETED,1,61
2024-05-17 14:00:00,2024-05-17 13:57:00,3,COMPLETED,2,62
2024-09-20 14:00:00,2024-09-20 13:57:00,3,COMPLETED,1,63
2024-11-13 10:00:00,2024-11-13 09:57:00,3,COMPLETED,2,64
2024-01-11 12:00:00,2024-01-11 11:57:00,3,COMPLETED,1,65
2024-02-21 13:00:00,2024-02-21 12:57:00,3,COMPLETED,1,66
2024-11-01 17:00:00,2024-11-01 16:56:00,4,COMPLETED,4,67
2024-10-06 15:00:00,2024-10-06 14:56:00,4,COMPLETED,4,68
2024-10-22 14:00:00,2024-10-22 13:56:00,4,COMPLETED,4,69
2024-04-04 19:00:00,2024-04-04 18:56:00,4,COMPLETED,4,70
2024-10-29 19:00:00,2024-10-29 18:56:00,4,COMPLETED,4,71
2024-05-01 17:00:00,2024-05-01 16:56:00,4,COMPLETED,4,72
2024-04-21 11:00:00,2024-04-21 10:56:00,4,COMPLETED,4,73
2024-12-20 16:00:00,2024-12-20 15:53:00,7,COMPLETED,3,74
2024-05-30 16:00:00,2024-05-30 15:53:00,7,COMPLETED,5,75
2024-12-10 12:00:00,2024-12-10 11:50:00,10,COMPLETED,5,76
2024-05-22 10:00:00,2024-05-22 09:50:00,10,COMPLETED,8,77
2024-11-07 17:00:00,2024-11-07 16:50:00,10,COMPLETED,9,78
2024-02-14 11:00:00,2024-02-14 10:50:00,10,COMPLETED,8,79
2024-01-14 13:00:00,2024-01-14 12:50:00,10,COMPLETED,8,80
2024-02-21 16:00:00,2024-02-21 15:50:00,10,COMPLETED,9,81
2024-04-09 13:00:00,2024-04-09 12:50:00,10,COMPLETED,9,82
2024-02-23 16:00:00,2024-02-23 15:50:00,10,COMPLETED,9,83
2024-05-03 11:00:00,2024-05-03 10:50:00,10,COMPLETED,7,84
2024-08-01 11:00:00,2024-08-01 10:50:00,10,COMPLETED,10,85
2024-02-01 19:00:00,2024-02-01 18:50:00,10,COMPLETED,9,86
2024-07-26 19:00:00,2024-07-26 18:50:00,10,COMPLETED,7,87
2024-05-08 17:00:00,2024-05-08 16:50:00,10,COMPLETED,10,88
2024-05-19 10:00:00,2024-05-19 09:50:00,10,COMPLETED,10,89
2024-03-12 18:00:00,2024-03-12 17:50:00,10,COMPLETED,8,90
2024-08-12 12:00:00,2024-08-12 11:50:00,10,COMPLETED,7,91
2024-10-06 18:00:00,2024-10-06 17:50:00,10,COMPLETED,10,92
2024-07-16 17:00:00,2024-07-16 16:50:00,10,COMPLETED,8,93
2024-12-05 15:00:00,2024-12-05 14:48:00,12,COMPLETED,10,94
2024-02-21 11:00:00,2024-02-21 10:48:00,12,COMPLETED,10,95
2024-05-21 13:00:00,2024-05-21 12:48:00,12,COMPLETED,12,96
2024-02-28 10:00:00,2024-02-28 09:48:00,12,COMPLETED,12,97
2024-07-20 14:00:00,2024-07-20 13:48:00,12,COMPLETED,11,98
2024-04-06 13:00:00,2024-04-06 12:48:00,12,COMPLETED,10,99
2024-01-16 11:00:00,2024-01-16 10:55:00,5,COMPLETED,4,100
2024-12-31 17:00:00,2024-12-31 16:52:00,8,COMPLETED,4,101
2024-01-30 13:00:00,2024-01-30 12:52:00,8,COMPLETED,7,102
2024-04-05 12:00:00,2024-04-05 11:52:00,8,COMPLETED,8,103
2024-11-20 17:00:00,2024-11-20 16:52:00,8,COMPLETED,7,104
2024-06-18 14:00:00,2024-06-18 13:52:00,8,COMPLETED,7,105
2024-05-10 15:00:00,2024-05-10 14:52:00,8,COMPLETED,7,106
2024-05-06 10:00:00,2024-05-06 09:52:00,8,COMPLETED,8,107
2024-12-19 17:00:00,2024-12-19 16:51:00,9,COMPLETED,7,108
2024-12-28 11:00:00,2024-12-28 10:49:00,11,COMPLETED,9,109
2024-09-27 14:00:00,2024-09-27 13:49:00,11,COMPLETED,11,110
2024-04-21 16:00:00,2024-04-21 15:49:00,11,COMPLETED,10,111
2024-03-26 14:00:00,2024-03-26 13:49:00,11,COMPLETED,9,112
2024-05-15 12:00:00,2024-05-15 11:49:00,11,COMPLETED,11,113
2024-02-19 14:00:00,2024-02-19 13:49:00,11,COMPLETED,10,114
2024-08-07 19:00:00,2024-08-07 18:49:00,11,COMPLETED,11,115
2024-04-04 13:00:00,2024-04-04 12:49:00,11,COMPLETED,11,116
2024-10-05 14:00:00,2024-10-05 13:49:00,11,COMPLETED,11,117
2024-02-06 16:00:00,2024-02-06 15:49:00,11,COMPLETED,11,118
2024-04-17 18:00:00,2024-04-17 17:49:00,11,COMPLETED,9,119
2024-09-10 13:00:00,2024-09-10 12:49:00,11,COMPLETED,11,120
2024-12-09 19:00:00,2024-12-09 18:46:00,14,COMPLETED,9,121
2024-08-24 17:00:00,2024-08-24 16:46:00,14,COMPLETED,12,122
2024-07-15 19:00:00,2024-07-15 18:46:00,14,COMPLETED,12,123
2024-01-18 14:00:00,2024-01-18 13:46:00,14,COMPLETED,11,124
2024-01-14 10:00:00,2024-01-14 09:46:00,14,COMPLETED,14,125
2024-10-27 13:00:00,2024-10-27 12:46:00,14,COMPLETED,11,126
2024-06-25 18:00:00,2024-06-25 17:46:00,14,COMPLETED,14,127
2024-08-03 10:00:00,2024-08-03 09:46:00,14,COMPLETED,11,128
2024-09-29 10:00:00,2024-09-29 09:46:00,14,COMPLETED,13,129
2024-01-25 18:00:00,2024-01-25 17:46:00,14,COMPLETED,13,130
2024-04-22 14:00:00,2024-04-22 13:46:00,14,COMPLETED,14,131
2024-04-19 14:00:00,2024-04-19 13:46:00,14,COMPLETED,10,132
2024-10-24 13:00:00,2024-10-24 12:54:00,6,COMPLETED,5,133
2024-03-11 14:00:00,2024-03-11 13:54:00,6,COMPLETED,6,134
2024-01-11 19:00:00,2024-01-11 18:54:00,6,COMPLETED,6,135
2024-05-14 13:00:00,2024-05-14 12:54:00,6,COMPLETED,6,136
2024-01-14 11:00:00,2024-01-14 10:54:00,6,COMPLETED,4,137
2024-12-04 13:00:00,2024-12-04 12:53:00,7,COMPLETED,4,138
2024-07-24 12:00:00,2024-07-24 11:53:00,7,COMPLETED,7,139
2024-03-04 17:00:00,2024-03-04 16:53:00,7,COMPLETED,6,140
2024-08-29 10:00:00,2024-08-29 09:53:00,7,COMPLETED,6,141
2024-03-25 19:00:00,2024-03-25 18:53:00,7,COMPLETED,7,142
2024-02-14 14:00:00,2024-02-14 13:53:00,7,COMPLETED,7,143
2024-03-14 16:00:00,2024-03-14 15:53:00,7,COMPLETED,7,144
2024-01-29 19:00:00,2024-01-29 18:53:00,7,COMPLETED,7,145
2024-06-15 17:00:00,2024-06-15 16:53:00,7,COMPLETED,5,146
2024-05-26 15:00:00,2024-05-26 14:53:00,7,COMPLETED,6,147
2024-08-15 13:00:00,2024-08-15 12:53:00,7,COMPLETED,7,148
2024-06-02 17:00:00,2024-06-02 16:53:00,7,COMPLETED,5,149
2024-12-14 17:00:00,2024-12-14 16:50:00,10,COMPLETED,6,150
2024-01-22 19:00:00,2024-01-22 18:50:00,10,COMPLETED,10,151
2024-09-21 17:00:00,2024-09-21 16:50:00,10,COMPLETED,10,152
2024-01-14 17:00:00,2024-01-14 16:50:00,10,COMPLETED,8,153
2024-04-01 15:00:00,2024-04-01 14:50:00,10,COMPLETED,10,154
2024-11-26 19:00:00,2024-11-26 18:50:00,10,COMPLETED,9,155
2024-10-22 13:00:00,2024-10-22 12:50:00,10,COMPLETED,9,156
2024-11-02 12:00:00,2024-11-02 11:50:00,10,COMPLETED,7,157
2024-12-20 12:00:00,2024-12-20 11:49:00,11,COMPLETED,8,158
2024-06-23 11:00:00,2024-06-23 10:49:00,11,COMPLETED,11,159
2024-10-25 15:00:00,2024-10-25 14:49:00,11,COMPLETED,11,160
2024-09-10 11:00:00,2024-09-10 10:49:00,11,COMPLETED,10,161
2024-11-19 11:00:00,2024-11-19 10:49:00,11,COMPLETED,8,162
2024-08-09 11:00:00,2024-08-09 10:49:00,11,COMPLETED,11,163
2024-07-06 11:00:00,2024-07-06 10:49:00,11,COMPLETED,11,164
2024-06-15 13:00:00,2024-06-15 12:49:00,11,COMPLETED,10,165
2024-05-23 11:00:00,2024-05-23 10:53:00,7,COMPLETED,5,166
2024-05-30 11:00:00,2024-05-30 10:53:00,7,COMPLETED,5,167
2024-08-22 18:00:00,2024-08-22 17:53:00,7,COMPLETED,6,168
2024-01-14 10:00:00,2024-01-14 09:53:00,7,COMPLETED,6,169
2024-10-17 16:00:00,2024-10-17 15:53:00,7,COMPLETED,5,170
2024-07-26 12:00:00,2024-07-26 11:53:00,7,COMPLETED,6,171
2024-12-22 17:00:00,2024-12-22 16:52:00,8,COMPLETED,8,172
2024-09-08 14:00:00,2024-09-08 13:52:00,8,COMPLETED,8,173
2024-05-15 12:00:00,2024-05-15 11:52:00,8,COMPLETED,7,174
2024-10-22 13:00:00,2024-10-22 12:52:00,8,COMPLETED,7,175
2024-06-13 10:00:00,2024-06-13 09:52:00,8,COMPLETED,7,176
2024-06-29 11:00:00,2024-06-29 10:52:00,8,COMPLETED,6,177
2024-03-20 12:00:00,2024-03-20 11:52:00,8,COMPLETED,8,178
2024-01-12 10:00:00,2024-01-12 09:52:00,8,COMPLETED,7,179
2024-02-08 10:00:00,2024-02-08 09:52:00,8,COMPLETED,6,180
2024-10-12 10:00:00,2024-10-12 09:52:00,8,COMPLETED,8,181
2024-02-21 19:00:00,2024-02-21 18:52:00,8,COMPLETED,6,182
2024-02-14 16:00:00,2024-02-14 15:52:00,8,COMPLETED,8,183
2024-10-04 14:00:00,2024-10-04 13:52:00,8,COMPLETED,7,184
2024-11-17 16:00:00,2024-11-17 15:52:00,8,COMPLETED,8,185
2024-01-23 16:00:00,2024-01-23 15:52:00,8,COMPLETED,6,186
2024-10-12 13:00:00,2024-10-12 12:52:00,8,COMPLETED,8,187
2024-03-19 17:00:00,2024-03-19 16:52:00,8,COMPLETED,6,188
2024-09-02 17:00:00,2024-09-02 16:52:00,8,COMPLETED,7,189
2024-05-23 18:00:00,2024-05-23 17:52:00,8,COMPLETED,7,190
2024-07-10 10:00:00,2024-07-10 09:52:00,8,COMPLETED,8,191
2024-08-14 16:00:00,2024-08-14 15:52:00,8,COMPLETED,7,192
2024-11-07 17:00:00,2024-11-07 16:52:00,8,COMPLETED,7,193
2024-01-02 10:00:00,2024-01-02 09:52:00,8,COMPLETED,8,194
2024-08-31 12:00:00,2024-08-31 11:52:00,8,COMPLETED,6,195
2024-05-02 13:00:00,2024-05-02 12:52:00,8,COMPLETED,8,196
2024-04-07 17:00:00,2024-04-07 16:52:00,8,COMPLETED,6,197
2024-08-23 19:00:00,2024-08-23 18:52:00,8,COMPLETED,6,198
2024-01-29 16:00:00,2024-01-29 15:52:00,8,COMPLETED,8,199
2024-01-13 10:00:00,2024-01-13 09:52:00,8,COMPLETED,6,200
2024-04-05 17:00:00,2024-04-05 16:52:00,8,COMPLETED,8,201
2024-04-14 12:00:00,2024-04-14 11:52:00,8,COMPLETED,8,202
2024-10-06 12:00:00,2024-10-06 11:52:00,8,COMPLETED,6,203
2024-01-25 12:00:00,2024-01-25 11:52:00,8,COMPLETED,8,204
2024-06-04 10:00:00,2024-06-04 09:52:00,8,COMPLETED,8,205
2024-11-11 14:00:00,2024-11-11 13:52:00,8,COMPLETED,8,206
2024-08-31 10:00:00,2024-08-31 09:52:00,8,COMPLETED,8,207
2024-10-25 14:00:00,2024-10-25 13:52:00,8,COMPLETED,8,208
2024-01-21 14:00:00,2024-01-21 13:52:00,8,COMPLETED,8,209
2024-11-28 15:00:00,2024-11-28 14:52:00,8,COMPLETED,6,210
2024-05-25 19:00:00,2024-05-25 18:52:00,8,COMPLETED,8,211
2024-06-22 14:00:00,2024-06-22 13:52:00,8,COMPLETED,8,212
2024-01-13 10:00:00,2024-01-13 09:52:00,8,COMPLETED,7,213
2024-01-22 11:00:00,2024-01-22 10:52:00,8,COMPLETED,7,214
2024-02-04 16:00:00,2024-02-04 15:52:00,8,COMPLETED,7,215
2024-06-28 10:00:00,2024-06-28 09:52:00,8,COMPLETED,6,216
2024-11-10 15:00:00,2024-11-10 14:52:00,8,COMPLETED,7,217
2024-07-24 14:00:00,2024-07-24 13:52:00,8,COMPLETED,7,218
2024-11-01 11:00:00,2024-11-01 10:52:00,8,COMPLETED,8,219
2024-09-27 16:00:00,2024-09-27 15:52:00,8,COMPLETED,8,220
2024-05-25 13:00:00,2024-05-25 12:52:00,8,COMPLETED,8,221
2024-04-09 15:00:00,2024-04-09 14:52:00,8,COMPLETED,8,222
2024-02-05 12:00:00,2024-02-05 11:52:00,8,COMPLETED,8,223
2024-09-01 14:00:00,2024-09-01 13:52:00,8,COMPLETED,6,224
2024-01-14 18:00:00,2024-01-14 17:52:00,8,COMPLETED,8,225
2024-11-09 12:00:00,2024-11-09 11:52:00,8,COMPLETED,6,226
2024-11-20 16:00:00,2024-11-20 15:52:00,8,COMPLETED,8,227
2024-11-22 11:00:00,2024-11-22 10:52:00,8,COMPLETED,8,228
2024-06-14 15:00:00,2024-06-14 14:52:00,8,COMPLETED,8,229
2024-05-23 18:00:00,2024-05-23 17:52:00,8,COMPLETED,8,230
2024-11-20 15:00:00,2024-11-20 14:52:00,8,COMPLETED,7,231
2024-04-16 12:00:00,2024-04-16 11:51:00,9,COMPLETED,9,232
2024-02-16 16:00:00,2024-02-16 15:51:00,9,COMPLETED,8,233
2024-05-08 12:00:00,2024-05-08 11:51:00,9,COMPLETED,8,234
2024-08-10 19:00:00,2024-08-10 18:51:00,9,COMPLETED,9,235
2024-09-20 10:00:00,2024-09-20 09:51:00,9,COMPLETED,7,236
2024-12-15 13:00:00,2024-12-15 12:49:00,11,COMPLETED,7,237
2024-12-22 11:00:00,2024-12-22 10:47:00,13,COMPLETED,9,238
2024-11-13 14:00:00,2024-11-13 13:47:00,13,COMPLETED,13,239
2024-09-09 11:00:00,2024-09-09 10:47:00,13,COMPLETED,12,240
2024-11-24 14:00:00,2024-11-24 13:47:00,13,COMPLETED,13,241
2024-11-24 12:00:00,2024-11-24 11:47:00,13,COMPLETED,9,242
2024-04-25 17:00:00,2024-04-25 16:47:00,13,COMPLETED,10,243
2024-01-13 12:00:00,2024-01-13 11:47:00,13,COMPLETED,12,244
2024-07-04 12:00:00,2024-07-04 11:47:00,13,COMPLETED,10,245
2024-07-06 19:00:00,2024-07-06 18:47:00,13,COMPLETED,9,246
2024-09-07 19:00:00,2024-09-07 18:47:00,13,COMPLETED,13,247
2024-01-27 19:00:00,2024-01-27 18:47:00,13,COMPLETED,11,248
2024-02-21 11:00:00,2024-02-21 10:47:00,13,COMPLETED,13,249
2024-07-01 13:00:00,2024-07-01 12:47:00,13,COMPLETED,12,250
2024-01-24 16:00:00,2024-01-24 15:47:00,13,COMPLETED,11,251
2024-02-27 14:00:00,2024-02-27 13:47:00,13,COMPLETED,9,252
2024-03-18 11:00:00,2024-03-18 10:47:00,13,COMPLETED,11,253
2024-05-28 17:00:00,2024-05-28 16:47:00,13,COMPLETED,11,254
2024-05-12 11:00:00,2024-05-12 10:47:00,13,COMPLETED,13,255
2024-01-15 13:00:00,2024-01-15 12:47:00,13,COMPLETED,9,256
2024-11-22 10:00:00,2024-11-22 09:47:00,13,COMPLETED,13,257
2024-08-15 16:00:00,2024-08-15 15:47:00,13,COMPLETED,10,258
2024-07-29 19:00:00,2024-07-29 18:47:00,13,COMPLETED,11,259
2024-08-22 16:00:00,2024-08-22 15:47:00,13,COMPLETED,13,260
2024-10-17 15:00:00,2024-10-17 14:47:00,13,COMPLETED,10,261
2024-05-03 14:00:00,2024-05-03 13:47:00,13,COMPLETED,10,262
2024-09-10 15:00:00,2024-09-10 14:47:00,13,COMPLETED,9,263
2024-10-09 14:00:00,2024-10-09 13:47:00,13,COMPLETED,9,264
2024-02-02 11:00:00,2024-02-02 10:50:00,10,COMPLETED,8,265
2024-04-28 10:00:00,2024-04-28 09:50:00,10,COMPLETED,7,266
2024-08-16 13:00:00,2024-08-16 12:50:00,10,COMPLETED,7,267
2024-09-24 17:00:00,2024-09-24 16:50:00,10,COMPLETED,10,268
2024-11-11 13:00:00,2024-11-11 12:50:00,10,COMPLETED,9,269
2024-02-21 13:00:00,2024-02-21 12:50:00,10,COMPLETED,8,270
2024-04-12 14:00:00,2024-04-12 13:50:00,10,COMPLETED,10,271
2024-03-28 18:00:00,2024-03-28 17:50:00,10,COMPLETED,8,272
2024-12-31 16:00:00,2024-12-31 15:47:00,13,COMPLETED,8,273
2024-11-04 16:00:00,2024-11-04 15:47:00,13,COMPLETED,13,274
2024-02-27 12:00:00,2024-02-27 11:47:00,13,COMPLETED,13,275
2024-10-26 11:00:00,2024-10-26 10:47:00,13,COMPLETED,13,276
2024-02-19 14:00:00,2024-02-19 13:47:00,13,COMPLETED,13,277
2024-01-11 12:00:00,2024-01-11 11:47:00,13,COMPLETED,9,278
2024-11-10 18:00:00,2024-11-10 17:47:00,13,COMPLETED,11,279
2024-10-01 13:00:00,2024-10-01 12:47:00,13,COMPLETED,13,280
2024-09-29 16:00:00,2024-09-29 15:47:00,13,COMPLETED,9,281
2024-12-18 18:00:00,2024-12-18 17:45:00,15,COMPLETED,11,282
2024-08-06 14:00:00,2024-08-06 13:45:00,15,COMPLETED,13,283
2024-08-31 18:00:00,2024-08-31 17:45:00,15,COMPLETED,15,284
2024-06-09 14:00:00,2024-06-09 13:45:00,15,COMPLETED,15,285
2024-09-06 19:00:00,2024-09-06 18:45:00,15,COMPLETED,11,286
2024-07-20 15:00:00,2024-07-20 14:45:00,15,COMPLETED,13,287
2024-11-09 14:00:00,2024-11-09 13:45:00,15,COMPLETED,15,288
2024-12-15 15:00:00,2024-12-15 14:44:00,16,COMPLETED,13,289
2024-07-14 15:00:00,2024-07-14 14:44:00,16,COMPLETED,15,290
2024-04-27 17:00:00,2024-04-27 16:44:00,16,COMPLETED,12,291
2024-03-15 11:00:00,2024-03-15 10:44:00,16,COMPLETED,13,292
2024-11-19 15:00:00,2024-11-19 14:44:00,16,COMPLETED,14,293
2024-12-05 17:00:00,2024-12-05 16:44:00,16,COMPLETED,13,294
2024-01-10 15:00:00,2024-01-10 14:44:00,16,COMPLETED,15,295
2024-07-30 13:00:00,2024-07-30 12:44:00,16,COMPLETED,15,296
2024-04-20 12:00:00,2024-04-20 11:44:00,16,COMPLETED,15,297
2024-08-12 10:00:00,2024-08-12 09:49:00,11,COMPLETED,10,298
2024-09-07 13:00:00,2024-09-07 12:49:00,11,COMPLETED,11,299
2024-08-02 10:00:00,2024-08-02 09:49:00,11,COMPLETED,11,300
2024-06-14 18:00:00,2024-06-14 17:49:00,11,COMPLETED,9,301
2024-10-21 15:00:00,2024-10-21 14:49:00,11,COMPLETED,8,302
2024-08-13 11:00:00,2024-08-13 10:49:00,11,COMPLETED,9,303
2024-04-13 18:00:00,2024-04-13 17:49:00,11,COMPLETED,10,304
2024-02-17 13:00:00,2024-02-17 12:49:00,11,COMPLETED,8,305
2024-06-03 19:00:00,2024-06-03 18:49:00,11,COMPLETED,9,306
2024-01-10 19:00:00,2024-01-10 18:49:00,11,COMPLETED,11,307
2024-04-21 16:00:00,2024-04-21 15:49:00,11,COMPLETED,11,308
2024-04-08 13:00:00,2024-04-08 12:49:00,11,COMPLETED,8,309
2024-07-08 17:00:00,2024-07-08 16:49:00,11,COMPLETED,11,310
2024-03-15 10:00:00,2024-03-15 09:49:00,11,COMPLETED,11,311
2024-03-08 17:00:00,2024-03-08 16:49:00,11,COMPLETED,10,312
2024-04-04 16:00:00,2024-04-04 15:49:00,11,COMPLETED,11,313
2024-01-12 12:00:00,2024-01-12 11:49:00,11,COMPLETED,10,314
2024-11-20 10:00:00,2024-11-20 09:49:00,11,COMPLETED,8,315
2024-11-17 12:00:00,2024-11-17 11:49:00,11,COMPLETED,9,316
2024-04-12 14:00:00,2024-04-12 13:49:00,11,COMPLETED,11,317
2024-05-09 19:00:00,2024-05-09 18:49:00,11,COMPLETED,11,318
2024-02-29 16:00:00,2024-02-29 15:49:00,11,COMPLETED,9,319
2024-10-01 12:00:00,2024-10-01 11:49:00,11,COMPLETED,11,320
2024-07-01 13:00:00,2024-07-01 12:49:00,11,COMPLETED,9,321
2024-07-16 14:00:00,2024-07-16 13:49:00,11,COMPLETED,10,322
2024-04-17 13:00:00,2024-04-17 12:49:00,11,COMPLETED,10,323
2024-01-25 17:00:00,2024-01-25 16:49:00,11,COMPLETED,11,324
2024-11-06 13:00:00,2024-11-06 12:49:00,11,COMPLETED,11,325
2024-07-21 11:00:00,2024-07-21 10:49:00,11,COMPLETED,8,326
2024-05-25 18:00:00,2024-05-25 17:49:00,11,COMPLETED,10,327
2024-01-26 18:00:00,2024-01-26 17:49:00,11,COMPLETED,11,328
2024-05-04 14:00:00,2024-05-04 13:49:00,11,COMPLETED,11,329
2024-08-23 16:00:00,2024-08-23 15:49:00,11,COMPLETED,10,330
2024-12-06 10:00:00,2024-12-06 09:47:00,13,COMPLETED,9,331
2024-04-27 13:00:00,2024-04-27 12:47:00,13,COMPLETED,13,332
2024-08-02 10:00:00,2024-08-02 09:47:00,13,COMPLETED,13,333
2024-01-23 17:00:00,2024-01-23 16:47:00,13,COMPLETED,13,334
2024-03-20 18:00:00,2024-03-20 17:47:00,13,COMPLETED,13,335
2024-04-28 18:00:00,2024-04-28 17:47:00,13,COMPLETED,13,336
2024-04-11 18:00:00,2024-04-11 17:47:00,13,COMPLETED,13,337
2024-11-10 14:00:00,2024-11-10 13:47:00,13,COMPLETED,12,338
2024-04-05 18:00:00,2024-04-05 17:47:00,13,COMPLETED,9,339
2024-10-27 15:00:00,2024-10-27 14:47:00,13,COMPLETED,12,340
2024-11-06 14:00:00,2024-11-06 13:47:00,13,COMPLETED,13,341
2024-11-19 14:00:00,2024-11-19 13:47:00,13,COMPLETED,9,342
2024-03-12 17:00:00,2024-03-12 16:47:00,13,COMPLETED,9,343
2024-12-25 19:00:00,2024-12-25 18:44:00,16,COMPLETED,10,344
2024-11-14 11:00:00,2024-11-14 10:44:00,16,COMPLETED,12,345
2024-06-19 19:00:00,2024-06-19 18:44:00,16,COMPLETED,13,346
2024-05-30 14:00:00,2024-05-30 13:44:00,16,COMPLETED,13,347
2024-05-17 17:00:00,2024-05-17 16:44:00,16,COMPLETED,15,348
2024-05-20 12:00:00,2024-05-20 11:44:00,16,COMPLETED,13,349
2024-03-25 16:00:00,2024-03-25 15:44:00,16,COMPLETED,13,350
2024-04-06 13:00:00,2024-04-06 12:44:00,16,COMPLETED,15,351
2024-11-12 19:00:00,2024-11-12 18:44:00,16,COMPLETED,13,352
2024-09-02 14:00:00,2024-09-02 13:44:00,16,COMPLETED,14,353
2024-12-15 10:00:00,2024-12-15 09:44:00,16,COMPLETED,13,354
2024-07-20 10:00:00,2024-07-20 09:44:00,16,COMPLETED,14,355
2024-10-12 13:00:00,2024-10-12 12:44:00,16,COMPLETED,14,356
2024-02-21 18:00:00,2024-02-21 17:44:00,16,COMPLETED,15,357
