id,item_name,path,request_time,status,employee_id,number_of_obstacles
59,Monitor,PATH2,2024-10-23 11:13:35,FULFILLED,1,3
60,Printer,PATH2,2024-10-16 06:40:24,FULFILLED,1,6
61,Mouse,PATH1,2024-10-19 00:26:44,FULFILLED,1,5
62,Mouse,PATH2,2024-11-13 23:16:20,PENDING,1,2
63,Mouse,PATH3,2024-10-29 02:27:17,PENDING,1,10
64,Speaker,PATH2,2024-10-06 09:54:25,PENDING,1,6
65,Printer,PATH1,2024-09-11 10:32:44,FULFILLED,1,0
66,Tablet,PATH2,2024-11-28 05:08:17,FULFILLED,1,6
67,Mouse,PATH1,2024-11-12 00:21:21,FULFILLED,1,8
68,Headphone,PATH2,2024-10-21 05:58:35,PENDING,1,9
69,Mouse,PATH3,2024-09-07 01:41:26,FULFILLED,1,2
70,Headphone,PATH3,2024-11-03 18:57:10,FULFILLED,1,4
71,Headphone,PATH1,2024-10-26 13:57:23,FULFILLED,1,10
72,Printer,PATH2,2024-11-10 00:53:51,FULFILLED,1,1
73,Laptop,PATH3,2024-10-28 02:01:06,FULFILLED,1,4
74,Mouse,PATH2,2024-10-19 17:32:04,FULFILLED,1,5
75,Tablet,PATH3,2024-09-23 12:42:21,PENDING,1,3
76,Mouse,PATH1,2024-11-16 07:23:22,FULFILLED,1,1
77,Printer,PATH2,2024-10-02 11:52:32,FULFILLED,1,0
78,Monitor,PATH3,2024-10-16 20:03:10,PENDING,1,3
79,Mouse,PATH3,2024-11-18 20:21:05,FULFILLED,1,7
80,Speaker,PATH3,2024-10-23 01:17:52,FULFILLED,1,1
81,Monitor,PATH2,2024-10-18 06:25:35,PENDING,1,2
82,Monitor,PATH3,2024-11-08 13:19:56,FULFILLED,1,4
83,Tablet,PATH2,2024-10-06 02:52:36,FULFILLED,1,3
84,Printer,PATH1,2024-10-06 12:31:13,FULFILLED,1,4
85,Headphone,PATH2,2024-11-24 12:48:12,PENDING,1,2
86,Speaker,PATH2,2024-11-27 03:37:10,FULFILLED,1,0
87,Mouse,PATH2,2024-10-12 20:08:23,FULFILLED,1,6
88,Monitor,PATH3,2024-09-03 10:56:35,FULFILLED,1,7
89,Mouse,PATH3,2024-11-30 01:49:44,FULFILLED,1,10
90,Printer,PATH1,2024-11-21 20:06:07,PENDING,1,4
91,Monitor,PATH1,2024-11-19 05:00:09,PENDING,1,9
92,Monitor,PATH1,2024-11-05 06:40:01,FULFILLED,1,8
93,Monitor,PATH3,2024-10-26 23:39:32,PENDING,1,6
94,Laptop,PATH1,2024-10-28 13:40:05,FULFILLED,1,0
95,Monitor,PATH3,2024-10-23 17:40:01,FULFILLED,1,3
96,Monitor,PATH1,2024-11-16 12:05:33,PENDING,1,1
97,Speaker,PATH3,2024-10-13 15:04:41,FULFILLED,1,1
98,Speaker,PATH1,2024-10-18 03:41:55,FULFILLED,1,1
99,Headphone,PATH1,2024-11-23 00:28:26,FULFILLED,1,9
100,Printer,PATH1,2024-10-26 19:03:03,PENDING,1,5
101,Monitor,PATH3,2024-11-18 11:14:47,FULFILLED,1,7
102,Monitor,PATH3,2024-11-01 14:44:35,FULFILLED,1,10
103,Printer,PATH1,2024-09-06 06:01:21,FULFILLED,1,3
104,Speaker,PATH3,2024-11-09 14:29:35,FULFILLED,1,4
105,Speaker,PATH1,2024-09-15 19:21:48,PENDING,1,7
106,Headphone,PATH2,2024-10-31 16:10:04,FULFILLED,1,5
107,Speaker,PATH1,2024-11-05 08:12:39,PENDING,1,4
108,Tablet,PATH2,2024-09-30 22:07:52,PENDING,1,1
109,Monitor,PATH2,2024-11-27 22:24:04,FULFILLED,1,4
110,Monitor,PATH1,2024-09-12 20:17:14,PENDING,1,2
111,Laptop,PATH2,2024-11-18 17:44:15,FULFILLED,1,5
112,Laptop,PATH1,2024-11-03 20:19:47,FULFILLED,1,3
113,Monitor,PATH1,2024-11-21 07:49:27,FULFILLED,1,2
114,Mouse,PATH3,2024-11-01 21:52:48,PENDING,1,1
115,Tablet,PATH1,2024-09-18 04:22:40,FULFILLED,1,10
116,Speaker,PATH3,2024-10-23 17:20:23,PENDING,1,1
117,Mouse,PATH3,2024-10-26 23:25:16,FULFILLED,1,4
118,Laptop,PATH1,2024-10-29 01:22:54,FULFILLED,1,0
119,Speaker,PATH1,2024-11-06 07:30:39,FULFILLED,1,9
120,Headphone,PATH1,2024-09-10 10:12:05,FULFILLED,1,1
121,Speaker,PATH2,2024-11-14 00:01:17,PENDING,1,9
122,Monitor,PATH3,2024-11-28 20:47:43,FULFILLED,1,4
123,Printer,PATH2,2024-10-09 06:37:57,FULFILLED,1,7
124,Printer,PATH3,2024-11-05 19:30:14,PENDING,1,3
125,Speaker,PATH3,2024-09-19 15:12:02,PENDING,1,8
126,Speaker,PATH1,2024-10-06 23:51:33,PENDING,1,6
127,Headphone,PATH2,2024-11-10 05:47:16,PENDING,1,9
128,Laptop,PATH3,2024-10-03 18:31:02,FULFILLED,1,10
129,Speaker,PATH2,2024-09-24 23:34:12,FULFILLED,1,2
130,Mouse,PATH1,2024-09-16 02:49:08,PENDING,1,0
131,Headphone,PATH1,2024-11-16 05:21:05,PENDING,1,5
132,Headphone,PATH2,2024-11-30 13:20:26,FULFILLED,1,10
133,Mouse,PATH1,2024-09-27 02:04:37,PENDING,1,3
134,Speaker,PATH3,2024-09-04 06:15:17,PENDING,1,3
135,Printer,PATH1,2024-10-04 13:13:36,FULFILLED,1,4
136,Monitor,PATH3,2024-10-05 08:48:32,FULFILLED,1,0
137,Laptop,PATH2,2024-11-20 08:27:40,FULFILLED,1,6
138,Monitor,PATH3,2024-11-11 03:05:38,PENDING,1,4
139,Speaker,PATH2,2024-09-09 00:12:07,FULFILLED,1,8
140,Speaker,PATH3,2024-11-03 07:32:20,FULFILLED,1,8
141,Monitor,PATH2,2024-11-21 12:10:35,FULFILLED,1,8
142,Printer,PATH1,2024-09-23 19:53:34,FULFILLED,1,0
143,Monitor,PATH1,2024-10-12 12:05:39,FULFILLED,1,6
144,Monitor,PATH1,2024-10-01 06:42:12,FULFILLED,1,2
145,Tablet,PATH3,2024-09-15 03:42:06,FULFILLED,1,5
146,Printer,PATH2,2024-11-21 04:52:16,FULFILLED,1,5
147,Laptop,PATH1,2024-10-03 18:17:46,FULFILLED,1,6
148,Mouse,PATH1,2024-10-30 16:38:15,PENDING,1,5
149,Headphone,PATH2,2024-09-15 15:04:31,FULFILLED,1,5
150,Speaker,PATH2,2024-10-19 09:08:15,PENDING,1,10
151,Printer,PATH1,2024-10-12 00:11:04,FULFILLED,1,0
152,Mouse,PATH1,2024-10-13 03:47:52,FULFILLED,1,7
153,Headphone,PATH2,2024-09-10 06:02:56,FULFILLED,1,7
154,Printer,PATH1,2024-11-05 21:48:58,FULFILLED,1,9
155,Monitor,PATH1,2024-11-01 10:06:23,FULFILLED,1,9
156,Printer,PATH2,2024-09-24 11:51:03,PENDING,1,2
157,Tablet,PATH2,2024-10-16 08:07:30,PENDING,1,4
158,Monitor,PATH3,2024-10-16 00:03:10,FULFILLED,1,5
159,Printer,PATH3,2024-09-29 22:42:54,FULFILLED,1,9
160,Laptop,PATH3,2024-10-21 05:59:38,FULFILLED,1,3
161,Laptop,PATH3,2024-11-22 04:46:27,PENDING,1,5
162,Printer,PATH3,2024-09-14 05:58:31,FULFILLED,1,5
163,Speaker,PATH3,2024-10-09 00:55:21,FULFILLED,1,0
164,Laptop,PATH3,2024-11-14 09:55:35,PENDING,1,10
165,Headphone,PATH3,2024-09-23 14:21:02,FULFILLED,1,1
166,Tablet,PATH2,2024-11-21 06:30:10,FULFILLED,1,10
167,Printer,PATH1,2024-11-16 17:23:50,FULFILLED,1,4
168,Tablet,PATH3,2024-09-30 16:25:56,FULFILLED,1,2
169,Speaker,PATH1,2024-09-20 16:16:27,FULFILLED,1,10
170,Laptop,PATH3,2024-11-22 10:51:23,PENDING,1,2
171,Printer,PATH3,2024-12-01 15:10:59,PENDING,1,5
172,Printer,PATH3,2024-11-15 04:05:20,FULFILLED,1,8
173,Monitor,PATH3,2024-10-25 21:34:43,FULFILLED,1,10
174,Printer,PATH2,2024-10-28 22:38:06,FULFILLED,1,7
175,Printer,PATH2,2024-11-15 15:34:34,PENDING,1,8
176,Mouse,PATH2,2024-11-11 16:23:00,PENDING,1,3
177,Monitor,PATH2,2024-09-17 09:52:50,FULFILLED,1,3
178,Headphone,PATH2,2024-10-04 02:41:47,FULFILLED,1,7
179,Printer,PATH2,2024-10-07 22:20:30,FULFILLED,1,10
180,Tablet,PATH1,2024-09-07 20:09:18,FULFILLED,1,1
181,Headphone,PATH2,2024-11-24 17:45:59,PENDING,1,6
182,Printer,PATH1,2024-11-17 20:15:22,FULFILLED,1,2
183,Monitor,PATH2,2024-10-27 02:54:01,PENDING,1,10
184,Tablet,PATH1,2024-09-01 06:59:38,FULFILLED,1,6
185,Headphone,PATH2,2024-10-21 08:30:26,PENDING,1,5
186,Mouse,PATH1,2024-11-11 05:46:49,FULFILLED,1,2
187,Tablet,PATH2,2024-10-05 22:34:13,FULFILLED,1,8
188,Printer,PATH2,2024-10-18 15:56:34,FULFILLED,1,1
189,Tablet,PATH3,2024-09-08 10:20:33,PENDING,1,6
190,Laptop,PATH1,2024-09-30 23:55:30,FULFILLED,1,8
191,Laptop,PATH3,2024-11-27 02:44:46,PENDING,1,3
192,Tablet,PATH3,2024-12-02 00:07:14,PENDING,1,1
193,Monitor,PATH1,2024-10-04 22:27:14,FULFILLED,1,9
194,Speaker,PATH3,2024-09-28 10:22:28,PENDING,1,4
195,Monitor,PATH3,2024-09-20 14:58:02,FULFILLED,1,9
196,Headphone,PATH1,2024-10-06 12:55:49,PENDING,1,1
197,Printer,PATH3,2024-09-07 03:19:12,FULFILLED,1,2
198,Speaker,PATH3,2024-11-26 22:21:21,FULFILLED,1,5
199,Mouse,PATH2,2024-10-19 06:20:31,FULFILLED,1,3
200,Printer,PATH1,2024-09-03 09:55:05,FULFILLED,1,5
201,Monitor,PATH3,2024-11-14 07:37:12,FULFILLED,1,0
202,Monitor,PATH1,2024-11-14 06:01:28,PENDING,1,5
203,Mouse,PATH2,2024-09-12 07:55:15,PENDING,1,4
204,Tablet,PATH3,2024-11-12 14:28:52,FULFILLED,1,3
205,Laptop,PATH2,2024-10-29 19:27:06,FULFILLED,1,6
206,Tablet,PATH3,2024-10-29 06:14:03,FULFILLED,1,5
207,Speaker,PATH2,2024-10-25 08:21:25,FULFILLED,1,9
208,Headphone,PATH1,2024-09-08 03:12:17,PENDING,1,7
209,Speaker,PATH3,2024-10-28 22:16:53,FULFILLED,1,9
210,Printer,PATH1,2024-10-30 17:49:14,PENDING,1,7
211,Speaker,PATH2,2024-11-06 14:08:54,FULFILLED,1,10
212,Speaker,PATH1,2024-09-05 03:28:06,PENDING,1,0
213,Monitor,PATH1,2024-09-21 13:14:33,FULFILLED,1,4
214,Printer,PATH2,2024-11-02 16:07:20,FULFILLED,1,5
215,Speaker,PATH2,2024-10-14 09:22:03,FULFILLED,1,0
216,Tablet,PATH2,2024-10-31 18:15:12,PENDING,1,3
217,Headphone,PATH2,2024-10-11 00:34:38,FULFILLED,1,7
218,Monitor,PATH3,2024-10-30 12:33:25,PENDING,1,10
219,Tablet,PATH3,2024-11-04 02:15:51,FULFILLED,1,6
220,Mouse,PATH2,2024-12-01 14:41:51,FULFILLED,1,1
221,Laptop,PATH2,2024-11-21 19:14:13,FULFILLED,1,7
222,Tablet,PATH1,2024-11-21 08:18:18,FULFILLED,1,1
223,Printer,PATH3,2024-11-21 18:03:35,FULFILLED,1,3
224,Laptop,PATH2,2024-10-25 03:35:05,PENDING,1,4
225,Printer,PATH2,2024-09-10 15:55:05,FULFILLED,1,3
226,Monitor,PATH3,2024-10-22 14:48:54,FULFILLED,1,6
227,Mouse,PATH1,2024-11-16 12:05:42,FULFILLED,1,3
228,Printer,PATH1,2024-11-29 07:20:16,PENDING,1,9
229,Laptop,PATH1,2024-10-05 01:05:02,FULFILLED,1,9
230,Printer,PATH3,2024-10-28 05:34:55,PENDING,1,9
231,Printer,PATH2,2024-11-11 10:26:18,PENDING,1,6
232,Mouse,PATH3,2024-11-12 09:31:18,PENDING,1,1
233,Mouse,PATH1,2024-11-08 08:28:41,PENDING,1,9
234,Tablet,PATH3,2024-11-13 15:29:09,FULFILLED,1,9
235,Tablet,PATH3,2024-11-20 02:11:39,PENDING,1,0
236,Mouse,PATH3,2024-09-27 19:29:13,PENDING,1,6
237,Mouse,PATH1,2024-09-08 16:43:07,FULFILLED,1,4
238,Headphone,PATH1,2024-10-21 13:24:09,PENDING,1,5
239,Speaker,PATH3,2024-11-08 14:36:24,PENDING,1,7
240,Laptop,PATH2,2024-09-30 14:55:03,FULFILLED,1,1
241,Mouse,PATH3,2024-11-23 16:03:41,PENDING,1,1
242,Printer,PATH2,2024-10-08 21:38:30,FULFILLED,1,6
243,Tablet,PATH2,2024-10-05 21:38:21,FULFILLED,1,6
244,Mouse,PATH3,2024-09-03 06:01:15,FULFILLED,1,3
245,Printer,PATH2,2024-10-02 14:48:20,PENDING,1,8
246,Laptop,PATH2,2024-10-02 10:43:40,PENDING,1,8
247,Printer,PATH2,2024-10-12 16:06:20,FULFILLED,1,4
248,Headphone,PATH3,2024-11-26 17:54:10,FULFILLED,1,9
249,Printer,PATH2,2024-10-14 08:26:46,FULFILLED,1,2
250,Laptop,PATH2,2024-10-29 11:19:56,FULFILLED,1,10
251,Speaker,PATH2,2024-10-30 05:58:31,FULFILLED,1,10
252,Headphone,PATH3,2024-11-05 01:21:25,FULFILLED,1,5
253,Headphone,PATH1,2024-11-19 14:40:45,PENDING,1,2
254,Headphone,PATH1,2024-10-12 12:56:25,FULFILLED,1,10
255,Laptop,PATH3,2024-09-08 15:00:32,FULFILLED,1,8
256,Mouse,PATH1,2024-09-27 18:14:28,PENDING,1,8
257,Headphone,PATH2,2024-09-20 18:38:36,FULFILLED,1,2
258,Headphone,PATH3,2024-10-22 13:53:10,FULFILLED,1,1
259,Speaker,PATH2,2024-10-29 17:43:45,PENDING,1,0
260,Laptop,PATH1,2024-11-30 21:29:06,FULFILLED,1,10
261,Printer,PATH3,2024-10-21 22:53:42,FULFILLED,1,5
262,Monitor,PATH2,2024-10-07 10:29:20,PENDING,1,9
263,Monitor,PATH2,2024-09-09 07:50:46,FULFILLED,1,6
264,Laptop,PATH3,2024-09-21 04:26:55,FULFILLED,1,6
265,Tablet,PATH1,2024-11-04 09:27:32,FULFILLED,1,9
266,Printer,PATH1,2024-11-08 17:57:55,FULFILLED,1,4
267,Printer,PATH3,2024-11-05 02:03:08,FULFILLED,1,5
268,Mouse,PATH2,2024-09-23 13:24:36,FULFILLED,1,10
269,Headphone,PATH1,2024-11-03 20:40:20,PENDING,1,5
270,Printer,PATH2,2024-09-23 04:13:58,FULFILLED,1,9
271,Mouse,PATH2,2024-12-01 02:47:05,FULFILLED,1,4
272,Headphone,PATH1,2024-09-05 16:05:39,FULFILLED,1,9
273,Printer,PATH3,2024-11-04 06:03:52,FULFILLED,1,4
274,Tablet,PATH1,2024-11-19 09:33:28,PENDING,1,1
275,Tablet,PATH2,2024-10-28 09:44:20,PENDING,1,2
276,Laptop,PATH3,2024-09-25 17:36:35,FULFILLED,1,1
277,Printer,PATH1,2024-10-19 19:03:00,PENDING,1,4
278,Tablet,PATH1,2024-09-21 23:29:20,FULFILLED,1,2
279,Headphone,PATH3,2024-11-16 10:22:01,FULFILLED,1,6
280,Tablet,PATH3,2024-11-29 03:14:16,FULFILLED,1,3
281,Printer,PATH1,2024-12-01 05:34:08,PENDING,1,7
282,Speaker,PATH1,2024-09-29 17:34:07,FULFILLED,1,3
283,Speaker,PATH3,2024-11-21 10:30:12,PENDING,1,5
284,Headphone,PATH1,2024-09-19 19:07:33,FULFILLED,1,2
285,Monitor,PATH3,2024-10-19 17:12:39,PENDING,1,3
286,Printer,PATH1,2024-10-05 21:44:05,FULFILLED,1,4
287,Tablet,PATH1,2024-11-08 23:43:00,FULFILLED,1,8
288,Printer,PATH2,2024-09-14 04:02:47,PENDING,1,5
289,Headphone,PATH2,2024-09-15 10:36:43,FULFILLED,1,7
290,Monitor,PATH3,2024-09-26 20:08:04,FULFILLED,1,2
291,Headphone,PATH1,2024-11-06 05:00:52,FULFILLED,1,10
292,Laptop,PATH2,2024-09-29 23:01:36,PENDING,1,2
293,Speaker,PATH3,2024-10-13 17:02:58,FULFILLED,1,1
294,Headphone,PATH2,2024-11-19 02:19:08,FULFILLED,1,4
295,Mouse,PATH3,2024-09-24 19:54:27,FULFILLED,1,7
296,Mouse,PATH2,2024-11-19 20:17:05,FULFILLED,1,10
297,Monitor,PATH1,2024-10-02 16:15:55,FULFILLED,1,0
298,Speaker,PATH3,2024-09-24 07:58:22,FULFILLED,1,8
299,Laptop,PATH2,2024-10-14 20:46:59,PENDING,1,1
300,Printer,PATH2,2024-10-27 19:18:19,PENDING,1,5
301,Monitor,PATH3,2024-09-29 07:56:12,FULFILLED,1,0
302,Mouse,PATH2,2024-09-18 02:55:37,FULFILLED,1,10
303,Headphone,PATH3,2024-09-26 08:26:55,PENDING,1,4
304,Mouse,PATH1,2024-10-10 23:44:08,FULFILLED,1,8
305,Headphone,PATH3,2024-10-18 18:24:51,FULFILLED,1,10
306,Tablet,PATH2,2024-10-23 18:06:47,FULFILLED,1,7
307,Printer,PATH2,2024-11-23 16:22:38,FULFILLED,1,4
308,Headphone,PATH1,2024-09-11 09:26:51,FULFILLED,1,6
309,Monitor,PATH1,2024-09-27 08:18:53,FULFILLED,1,2
310,Headphone,PATH2,2024-11-06 06:09:23,FULFILLED,1,8
311,Headphone,PATH3,2024-09-02 18:59:03,PENDING,1,3
312,Laptop,PATH2,2024-09-22 15:44:27,PENDING,1,10
313,Printer,PATH2,2024-11-24 23:00:36,FULFILLED,1,2
314,Printer,PATH1,2024-09-19 12:37:38,FULFILLED,1,6
315,Speaker,PATH3,2024-10-08 05:07:44,FULFILLED,1,2
316,Headphone,PATH3,2024-10-23 03:48:55,PENDING,1,0
317,Laptop,PATH2,2024-11-29 00:36:13,FULFILLED,1,10
318,Laptop,PATH2,2024-10-23 11:49:39,PENDING,1,5
319,Laptop,PATH3,2024-10-05 12:57:59,FULFILLED,1,6
320,Speaker,PATH3,2024-10-23 09:05:11,FULFILLED,1,6
321,Tablet,PATH2,2024-11-15 06:04:49,FULFILLED,1,7
322,Laptop,PATH2,2024-09-11 23:53:31,FULFILLED,1,2
323,Mouse,PATH3,2024-10-01 11:45:10,PENDING,1,9
324,Monitor,PATH2,2024-09-17 16:18:54,PENDING,1,0
325,Speaker,PATH2,2024-10-17 17:32:49,PENDING,1,7
326,Tablet,PATH2,2024-11-05 08:40:58,FULFILLED,1,4
327,Mouse,PATH1,2024-11-22 20:38:18,PENDING,1,0
328,Headphone,PATH1,2024-10-29 06:54:31,FULFILLED,1,5
329,Printer,PATH2,2024-10-30 09:20:30,FULFILLED,1,10
330,Mouse,PATH1,2024-09-08 05:40:16,FULFILLED,1,8
331,Printer,PATH2,2024-09-27 00:00:32,FULFILLED,1,9
332,Monitor,PATH1,2024-10-17 15:44:31,PENDING,1,6
333,Monitor,PATH3,2024-11-17 05:35:04,FULFILLED,1,2
334,Printer,PATH3,2024-10-01 01:14:17,FULFILLED,1,0
335,Monitor,PATH1,2024-10-29 02:11:49,PENDING,1,5
336,Laptop,PATH2,2024-10-03 04:58:27,PENDING,1,3
337,Tablet,PATH2,2024-10-25 14:23:08,FULFILLED,1,9
338,Monitor,PATH1,2024-10-07 22:15:11,FULFILLED,1,6
339,Laptop,PATH2,2024-09-29 23:44:01,FULFILLED,1,10
340,Speaker,PATH3,2024-11-10 09:35:23,FULFILLED,1,2
341,Speaker,PATH1,2024-11-26 09:38:53,FULFILLED,1,1
342,Monitor,PATH3,2024-10-21 18:11:19,FULFILLED,1,0
343,Monitor,PATH1,2024-10-15 05:28:02,FULFILLED,1,4
344,Speaker,PATH1,2024-10-04 00:44:13,FULFILLED,1,10
345,Laptop,PATH2,2024-09-07 23:10:03,FULFILLED,1,3
346,Printer,PATH1,2024-11-04 22:14:55,FULFILLED,1,10
347,Speaker,PATH1,2024-09-17 08:18:04,PENDING,1,8
348,Speaker,PATH2,2024-10-30 04:32:02,PENDING,1,10
349,Tablet,PATH1,2024-10-26 12:50:14,FULFILLED,1,8
350,Headphone,PATH1,2024-10-30 01:59:36,PENDING,1,6
351,Monitor,PATH2,2024-09-17 02:26:15,FULFILLED,1,3
352,Speaker,PATH3,2024-11-16 22:18:00,FULFILLED,1,5
353,Laptop,PATH1,2024-10-05 01:56:05,FULFILLED,1,3
354,Headphone,PATH1,2024-12-02 08:57:07,PENDING,1,9
355,Mouse,PATH3,2024-09-07 16:04:34,PENDING,1,3
356,Laptop,PATH3,2024-09-15 12:47:33,PENDING,1,10
357,Headphone,PATH2,2024-10-03 17:35:44,PENDING,1,8
358,Tablet,PATH3,2024-10-25 12:29:33,FULFILLED,1,6
359,Printer,PATH2,2024-10-11 17:46:59,PENDING,1,2
360,Printer,PATH2,2024-11-03 09:25:45,PENDING,1,1
361,Speaker,PATH2,2024-11-20 00:48:11,PENDING,1,0
362,Tablet,PATH2,2024-10-14 22:47:29,PENDING,1,8
363,Monitor,PATH2,2024-09-07 02:41:22,FULFILLED,1,10
364,Laptop,PATH2,2024-09-22 03:09:47,FULFILLED,1,2
365,Headphone,PATH2,2024-10-09 05:06:21,FULFILLED,1,1
366,Laptop,PATH2,2024-11-14 09:46:45,FULFILLED,1,4
367,Speaker,PATH2,2024-09-08 11:09:07,PENDING,1,8
368,Tablet,PATH2,2024-11-27 07:12:47,PENDING,1,4
369,Printer,PATH2,2024-11-18 02:50:54,PENDING,1,1
370,Printer,PATH3,2024-10-31 21:05:33,FULFILLED,1,4
371,Laptop,PATH1,2024-11-28 00:10:14,PENDING,1,6
372,Monitor,PATH1,2024-12-01 03:59:27,FULFILLED,1,1
373,Headphone,PATH1,2024-09-19 08:18:52,FULFILLED,1,5
374,Printer,PATH3,2024-11-12 21:47:46,PENDING,1,10
375,Monitor,PATH1,2024-09-24 02:55:24,FULFILLED,1,0
376,Mouse,PATH2,2024-11-27 11:00:12,FULFILLED,1,0
377,Headphone,PATH1,2024-09-18 12:18:38,FULFILLED,1,10
378,Printer,PATH3,2024-11-14 10:25:50,FULFILLED,1,7
379,Speaker,PATH1,2024-11-01 17:44:23,FULFILLED,1,5
380,Speaker,PATH2,2024-10-04 17:25:28,PENDING,1,1
381,Tablet,PATH2,2024-09-30 18:03:23,PENDING,1,8
382,Headphone,PATH2,2024-10-25 19:55:38,PENDING,1,2
383,Headphone,PATH1,2024-09-09 06:53:23,FULFILLED,1,3
384,Monitor,PATH2,2024-10-15 04:26:55,PENDING,1,4
385,Laptop,PATH2,2024-12-01 17:26:37,FULFILLED,1,6
386,Tablet,PATH1,2024-11-28 03:00:16,FULFILLED,1,7
387,Headphone,PATH1,2024-11-08 05:12:27,FULFILLED,1,4
388,Headphone,PATH1,2024-11-05 00:26:04,PENDING,1,9
389,Laptop,PATH2,2024-10-16 06:48:45,FULFILLED,1,8
390,Mouse,PATH2,2024-10-12 04:07:34,PENDING,1,3
391,Tablet,PATH2,2024-09-25 02:50:53,FULFILLED,1,1
392,Tablet,PATH3,2024-11-07 05:07:52,FULFILLED,1,9
393,Speaker,PATH1,2024-11-14 09:54:39,FULFILLED,1,9
394,Tablet,PATH2,2024-09-02 06:10:02,FULFILLED,1,2
395,Tablet,PATH3,2024-09-27 10:13:23,FULFILLED,1,5
396,Speaker,PATH2,2024-10-10 22:41:05,PENDING,1,8
397,Headphone,PATH3,2024-11-17 21:05:07,PENDING,1,8
